# page|Swedish excerpt|English translation|Swedish question|English question|correct SV~EN|wrong SV~EN|wrong SV~EN
10|Alla har yttrandefrihet, det vill säga rätt att skriva och säga vad de tycker.|Everyone has freedom of expression, meaning the right to write and say what they think.|Vad innebär yttrandefrihet enligt texten?|What does freedom of expression mean according to the text?|Rätt att skriva och säga vad man tycker~The right to write and say what one thinks|Rätt att få varje åsikt publicerad i en tidning~The right to have every opinion published in a newspaper|Rätt att slippa kritik när man uttrycker en åsikt~The right to be free from criticism when expressing an opinion
11|Integration betyder att människor med olika bakgrund och ekonomi lever närmare varandra och känner sig delaktiga i samhället.|Integration means people with different backgrounds and financial circumstances live closer together and feel included in society.|Vad betyder integration?|What does integration mean?|Att människor känner sig delaktiga i samhället~People feeling included in society|Att olika grupper får var sin separat samhällsservice~Different groups receiving their own separate public services|Att alla förväntas överge sina tidigare kulturella traditioner~Everyone being expected to abandon their previous cultural traditions
11|Ett segregerat samhälle kan därför försvaga demokratin.|A segregated society can therefore weaken democracy.|Hur kan segregation påverka demokratin enligt texten?|How can segregation affect democracy according to the text?|Den kan försvaga demokratin~It can weaken democracy|Den stärker demokratin genom att grupper får mindre kontakt~It strengthens democracy by reducing contact between groups|Den saknar betydelse så länge rösträtten är oförändrad~It has no significance as long as voting rights are unchanged
12|Riksdagen har 349 ledamöter som väljs vart fjärde år.|The Riksdag has 349 members who are elected every four years.|Hur många ledamöter har riksdagen enligt materialet?|How many members does the Riksdag have according to the material?|349~349|350~350|345~345
12|De beslutar om lagar och om hur statens pengar ska användas.|They decide on laws and how the state's money should be used.|Vad beslutar riksdagens ledamöter om?|What do members of the Riksdag decide on?|Lagar och statens pengar~Laws and the state's money|Lagar och domar i enskilda mål~Laws and judgments in individual cases|Statens budget och vilka som ska vara ministrar~The state budget and who should be ministers
12|Riksdagen väljer statsminister som får i uppdrag att bilda regering.|The Riksdag elects the prime minister, who is tasked with forming a government.|Vem väljer statsminister?|Who elects the prime minister?|Riksdagen~The Riksdag|Väljarna i ett separat statsministerval~Voters in a separate prime ministerial election|Talmannen utan omröstning i riksdagen~The Speaker without a vote in the Riksdag
12|Statsministern väljer därefter ministrarna i regeringen.|The prime minister then chooses the government ministers.|Vem väljer ministrarna i regeringen?|Who chooses the government ministers?|Statsministern~The prime minister|Riksdagen genom separata ministerval~The Riksdag through separate votes for ministers|Talmannen när regeringen ska bildas~The Speaker when a government is being formed
12|De partier som inte stödjer regeringen kallas för opposition.|The parties that do not support the government are called the opposition.|Vad kallas de partier som inte stödjer regeringen?|What are the parties that do not support the government called?|Opposition~Opposition|Koalition~Coalition|Regeringsunderlag~Government support base
13|Sverige är indelat i 21 regioner.|Sweden is divided into 21 regions.|Hur många regioner har Sverige enligt materialet?|How many regions does Sweden have according to the material?|21~21|20~20|25~25
13|Sverige är också uppdelat i 290 kommuner.|Sweden is also divided into 290 municipalities.|Hur många kommuner finns enligt materialet?|How many municipalities are there according to the material?|290~290|280~280|310~310
13|De tar beslut i kommunfullmäktige.|They make decisions in the municipal council.|Var fattar kommunens folkvalda politiker beslut?|Where do elected municipal politicians make decisions?|I kommunfullmäktige~In the municipal council|I kommunstyrelsen, som är kommunens folkvalda församling~In the municipal executive board, as the directly elected assembly|I regionfullmäktige, som beslutar åt kommunerna~In the regional assembly, which decides for municipalities
14|Val till EU-parlamentet hålls vart femte år.|Elections to the European Parliament are held every five years.|Hur ofta hålls val till EU-parlamentet?|How often are European Parliament elections held?|Vart femte år~Every five years|Vart fjärde år~Every four years|Vart sjätte år~Every six years
14|För att ha rätt att rösta ska man ha fyllt 18 år.|To have the right to vote, a person must be at least 18 years old.|Vilken rösträttsålder anger materialet?|What voting age does the material state?|18 år~18 years|16 år~16 years|20 år~20 years
14|För att rösta i riksdagsvalet måste man även vara svensk medborgare.|To vote in the Riksdag election, a person must also be a Swedish citizen.|Vilket medborgarskap krävs för att rösta i riksdagsvalet?|Which citizenship is required to vote in the Riksdag election?|Svenskt medborgarskap~Swedish citizenship|Medborgarskap i valfritt nordiskt land~Citizenship of any Nordic country|Medborgarskap i valfritt EU-land~Citizenship of any EU country
14|Folket röstade nej till att byta ut den svenska kronan mot euro och Sverige behöll den svenska kronan.|The people voted against replacing the Swedish krona with the euro, and Sweden kept the krona.|Vad blev resultatet av folkomröstningen om euro 2003?|What was the result of the 2003 referendum on the euro?|Sverige behöll kronan~Sweden kept the krona|Sverige beslutade att införa euro efter en övergångsperiod~Sweden decided to introduce the euro after a transition period|Sverige införde euro men behöll kronan för kontantbetalningar~Sweden introduced the euro but kept the krona for cash payments
15|Politiska partier samlar människor med gemensamma idéer om hur samhället ska styras.|Political parties bring together people with shared ideas about how society should be governed.|Vad förenar människor i ett politiskt parti?|What brings people together in a political party?|Gemensamma idéer om samhällets styrning~Shared ideas about governing society|Gemensamt ansvar för att verkställa myndighetsbeslut~Shared responsibility for implementing agency decisions|Gemensamt uppdrag att opartiskt granska regeringen~A shared duty to scrutinise the government impartially
15|Om ett parti får tjugo procent av folkets röster, så får de tjugo procent av platserna.|If a party receives twenty percent of the people's votes, it receives twenty percent of the seats.|Vad illustrerar textens exempel på proportionella val?|What does the text's example of proportional elections illustrate?|Andelen platser motsvarar andelen röster~The share of seats reflects the share of votes|Andelen platser motsvarar partiets andel av alla röstberättigade~The share of seats reflects the party's share of all eligible voters|Andelen platser motsvarar partiets antal vunna kommuner~The share of seats reflects how many municipalities the party won
15|Det går även att starta ett nytt parti tillsammans med andra.|It is also possible to start a new party together with others.|Kan människor starta ett nytt politiskt parti?|Can people start a new political party?|Ja, tillsammans med andra~Yes, together with others|Ja, men nya partier måste först ingå i ett riksdagsparti~Yes, but new parties must first belong to a parliamentary party|Ja, men bara folkvalda politiker får ta initiativet~Yes, but only elected politicians may initiate it
16|Grundlagarna är svårare att ändra än andra lagar.|The fundamental laws are harder to change than other laws.|Hur skiljer sig grundlagar från andra lagar?|How do fundamental laws differ from other laws?|De är svårare att ändra~They are harder to change|De ändras genom samma förfarande som andra lagar~They are amended through the same procedure as other laws|De ändras av regeringen utan riksdagens medverkan~They are amended by the government without the Riksdag
16|All offentlig makt i Sverige utgår från folket.|All public power in Sweden proceeds from the people.|Varifrån utgår all offentlig makt enligt regeringsformen?|Where does all public power come from under the Instrument of Government?|Folket~The people|Regeringen, som överlåter makt till folket~The government, which delegates power to the people|Statschefen, som överlåter makt till riksdagen~The head of state, who delegates power to the Riksdag
16|Tryckfrihetsförordningen skyddar det fria ordet i tryckt form.|The Freedom of the Press Act protects free expression in printed form.|Vilken grundlag skyddar det fria ordet i tryckt form?|Which fundamental law protects free expression in printed form?|Tryckfrihetsförordningen~The Freedom of the Press Act|Yttrandefrihetsgrundlagen~The Fundamental Law on Freedom of Expression|Regeringsformen~The Instrument of Government
16|Successionsordningen är den grundlag som bestämmer vem som ska bli kung eller drottning efter den nuvarande.|The Act of Succession is the fundamental law that determines who becomes king or queen after the current monarch.|Vad reglerar successionsordningen?|What does the Act of Succession regulate?|Vem som ärver tronen~Who inherits the throne|Hur en ny statsminister utses~How a new prime minister is appointed|Hur talmannen ersätts efter ett val~How the Speaker is replaced after an election
17|Allemansrätten ger alla möjlighet att vara i naturen oavsett vem som äger marken.|The right of public access gives everyone the opportunity to enjoy nature regardless of who owns the land.|Vad ger allemansrätten möjlighet till?|What does the right of public access allow?|Att vistas i naturen oavsett markägare~Enjoying nature regardless of land ownership|Att vistas endast på statligt ägd naturmark~Enjoying nature only on state-owned land|Att vistas på privat mark först efter ägarens tillstånd~Enjoying private land only with the owner's permission
17|Men det gäller att vara ansvarsfull och inte skada naturen eller störa markägaren.|But people must act responsibly and avoid damaging nature or disturbing the landowner.|Vilket ansvar följer med allemansrätten?|What responsibility comes with the right of public access?|Att inte skada eller störa~To avoid damage and disturbance|Att alltid inhämta markägarens tillstånd innan man går i skogen~To always obtain the landowner's permission before walking in a forest|Att hålla sig till kommunalt markerade leder i all natur~To stay on municipally marked paths everywhere in nature
17|Domstolarna är oberoende.|The courts are independent.|Hur beskrivs domstolarna i texten?|How does the text describe the courts?|Oberoende~Independent|Självständiga utom när regeringen ingriper i ett enskilt mål~Independent except when the government intervenes in an individual case|Bundna av riksdagens instruktioner om domen i varje mål~Bound by the Riksdag's instructions on the verdict in each case
18|En person som är misstänkt för ett brott ska betraktas som oskyldig tills dess att den dömts för brottet.|A person suspected of a crime must be considered innocent until convicted of that crime.|Hur ska en misstänkt person betraktas före en dom?|How should a suspect be regarded before conviction?|Som oskyldig~As innocent|Som skyldig när åklagaren har väckt åtal~As guilty once the prosecutor has brought charges|Som skyldig om personen inte själv bevisar sin oskuld~As guilty unless the person proves their own innocence
18|Det går att överklaga en dom vilket betyder att man ber en högre domstol att titta på fallet igen.|A judgment can be appealed, meaning a higher court is asked to look at the case again.|Vad betyder det att överklaga en dom?|What does it mean to appeal a judgment?|Att be en högre domstol pröva fallet~To ask a higher court to review the case|Att begära en ny förundersökning hos polisen~To request a new preliminary investigation by the police|Att begära att regeringen ändrar domstolens beslut~To ask the government to change the court's decision
18|Tingsrätten – första instans, där brottsmål och tvistemål börjar.|The district court is the first instance, where criminal and civil cases begin.|Var börjar brottsmål och tvistemål enligt texten?|Where do criminal and civil cases begin according to the text?|Tingsrätten~The district court|Förvaltningsrätten~The administrative court|Hovrätten~The court of appeal
18|Polisens uppgift är att upprätthålla lag och ordning och att förebygga och utreda brott.|The police's task is to maintain law and order and prevent and investigate crime.|Vad är en uppgift för polisen?|What is one task of the police?|Att förebygga och utreda brott~To prevent and investigate crime|Att besluta om åtal och föra talan i domstol~To decide on prosecution and present the case in court|Att besluta om påföljd efter bevisprövning~To decide the sentence after examining the evidence
19|Den åtalade har rätt till en försvarsadvokat som kan ifrågasätta åklagarens bevis och lägga fram egna bevis.|The defendant has the right to a defence lawyer who can challenge the prosecutor's evidence and present evidence of their own.|Vad kan försvarsadvokaten göra?|What can the defence lawyer do?|Ifrågasätta åklagarens bevis~Challenge the prosecutor's evidence|Avgöra om åtal ska väckas~Decide whether charges should be brought|Fastställa påföljden efter rättegången~Determine the sentence after the trial
20|Journalisterna ska kunna granska politiker och andra personer som har makt.|Journalists must be able to scrutinise politicians and other people in power.|Varför är journalistik viktig i en demokrati?|Why is journalism important in a democracy?|Den granskar personer med makt~It scrutinises people in power|Den fattar bindande beslut om politikers ansvar~It makes binding decisions on politicians' responsibility|Den företräder regeringen när dess beslut ifrågasätts~It represents the government when its decisions are questioned
20|Vem som helst har rätt att ta del av dem om de inte är hemliga (under sekretess).|Anyone has the right to access them unless they are confidential (subject to secrecy).|Vem får ta del av myndigheters allmänna handlingar som inte är hemliga?|Who may access public records held by authorities if they are not confidential?|Vem som helst~Anyone|Den som kan visa ett personligt intresse i ärendet~Anyone who can show a personal interest in the matter|Den som är part i ärendet eller arbetar som journalist~Anyone who is a party to the matter or works as a journalist
20|Den som meddelar uppgifter till media har också rätt att vara anonym.|A person who provides information to the media also has the right to remain anonymous.|Vilken rätt beskriver texten för den som lämnar uppgifter till medier?|What right does the text describe for a person providing information to the media?|Att vara anonym~To remain anonymous|Att själv godkänna tidningens artikel före publicering~To personally approve the newspaper article before publication|Att bestämma vilken rubrik uppgifterna publiceras under~To decide the headline under which the information is published
21|SR, SVT och UR kallas för public service.|SR, SVT and UR are called public service.|Vilka företag räknas som public service i texten?|Which companies are described as public service in the text?|SR, SVT och UR~SR, SVT and UR|SR, SVT och TV4~SR, SVT and TV4|SVT, UR och Svenska Dagbladet~SVT, UR and Svenska Dagbladet
21|De finansieras istället genom en avgift som tas ut via skatten.|They are instead funded through a fee collected through taxation.|Hur finansieras public service enligt texten?|How is public service funded according to the text?|Genom en avgift via skatten~Through a fee collected through taxation|Genom en avgift som bara tv-ägare betalar~Through a fee paid only by television owners|Genom abonnemang som tittarna väljer att köpa~Through subscriptions viewers choose to buy
21|Att kontrollera och granska information kallas för att vara källkritisk.|Checking and examining information is called being source-critical.|Vad innebär källkritik?|What does source criticism mean?|Att kontrollera och granska information~Checking and examining information|Att bedöma trovärdighet enbart efter hur många som delar uppgiften~Judging credibility solely by how many people share a claim|Att godta en uppgift när flera sidor återger samma ursprungskälla~Accepting a claim when several sites repeat the same original source
22|Den säger att alla människor är födda fria och lika i värde och rättigheter samt har rätt till ett liv fritt från våld.|It states that all people are born free and equal in dignity and rights and have the right to a life free from violence.|Vad säger FN:s förklaring om människors värde?|What does the UN declaration say about human dignity?|Alla är födda fria och lika i värde~All are born free and equal in dignity|Rättigheterna uppstår först när en stat beviljar medborgarskap~Rights arise only when a state grants citizenship|Rättigheterna gäller först när en person blir myndig~Rights apply only when a person reaches adulthood
22|Diskriminering betyder att vissa människor behandlas sämre än andra.|Discrimination means some people are treated worse than others.|Hur förklaras diskriminering i texten?|How does the text explain discrimination?|Att vissa behandlas sämre än andra~Some people being treated worse than others|Att olika personer uttrycker olika uppfattningar~Different people expressing different opinions|Att en regel leder till samma behandling av alla~A rule resulting in identical treatment for everyone
23|Sveriges politik för jämställdhet innebär att kvinnor och män ska ha samma rättigheter och skyldigheter och lika mycket makt att påverka samhället och sina egna liv.|Sweden's gender equality policy means women and men should have the same rights and responsibilities and equal power to influence society and their own lives.|Vad är målet med jämställdhetspolitiken?|What is the aim of gender equality policy?|Samma rättigheter och makt för kvinnor och män~Equal rights and power for women and men|Samma yrkesval för kvinnor och män~Identical career choices for women and men|Samma arbetsuppgifter i varje familj enligt lag~Identical household tasks in every family by law
23|Föräldrapenningen gör det möjligt för både kvinnor och män att vara hemma med barnen när de är små.|Parental benefit makes it possible for both women and men to stay home with their children when they are young.|Vilka kan enligt texten vara hemma med barn med hjälp av föräldrapenning?|Who can stay home with children with the help of parental benefit according to the text?|Både kvinnor och män~Both women and men|Kvinnor; män får bara obetald ledighet~Women; men may only take unpaid leave|Män; kvinnor får ersättning enbart från arbetsgivaren~Men; women receive compensation only from the employer
24|Sedan 2020 är barnkonventionen lag i Sverige.|Since 2020, the Convention on the Rights of the Child has been law in Sweden.|När blev barnkonventionen svensk lag?|When did the Convention on the Rights of the Child become Swedish law?|2020~2020|2018~2018|2022~2022
25|Allt våld mot barn är förbjudet både enligt barnkonventionen och svensk lag.|All violence against children is prohibited by both the Convention on the Rights of the Child and Swedish law.|Vad säger texten om våld mot barn?|What does the text say about violence against children?|Allt våld mot barn är förbjudet~All violence against children is prohibited|Förbudet gäller i skolan men föräldrar får besluta hemma~The ban applies at school but parents may decide at home|Förbudet gäller fysiskt våld men inte psykiskt våld~The ban covers physical violence but not psychological violence
25|Samer är också ett erkänt urfolk.|The Sami are also a recognised Indigenous people.|Vilken grupp är ett erkänt urfolk i Sverige?|Which group is a recognised Indigenous people in Sweden?|Samer~The Sami|Tornedalingar~Tornedalians|Sverigefinnar~Swedish Finns
25|De har ett eget folkvalt parlament, som kallas Same- tinget.|They have their own elected parliament, called the Sami Parliament.|Vad heter samernas folkvalda parlament?|What is the Sami people's elected parliament called?|Sametinget~The Sami Parliament|Samerådet~The Sami Council|Nordiska rådet~The Nordic Council
26|DO ska se till att diskrimine- ringslagen följs.|The Equality Ombudsman must ensure that the Discrimination Act is followed.|Vad ska Diskrimineringsombudsmannen se till?|What must the Equality Ombudsman ensure?|Att diskrimineringslagen följs~That the Discrimination Act is followed|Att domstolarnas domar följs genom att verkställa straff~That court judgments are followed by enforcing sentences|Att myndighetsbeslut överklagas inom rätt tid~That agency decisions are appealed within the deadline
26|Om någon begår ett brott mot personer för att de tillhör en viss grupp kallas det för hatbrott.|If someone commits a crime against people because they belong to a particular group, it is called a hate crime.|Vad kallas brott som riktas mot personer för att de tillhör en viss grupp?|What is a crime targeting people because they belong to a particular group called?|Hatbrott~A hate crime|Förtal~Defamation|Olaga hot utan hänsyn till motiv~Unlawful threats regardless of motive
27|Med den privata sektorn menas alla företag som ägs privat.|The private sector means all privately owned companies.|Vad menas med den privata sektorn?|What is meant by the private sector?|Privatägda företag~Privately owned companies|Alla verksamheter som tar betalt direkt av användarna~All activities that charge users directly|Alla verksamheter som drivs utan anställda~All activities run without employees
28|Fackliga organisationer representerar arbetstagarna.|Trade union organisations represent employees.|Vilka representerar fackliga organisationer?|Who do trade union organisations represent?|Arbetstagarna~Employees|Arbetsgivarna i förhandlingar med personalen~Employers in negotiations with staff|Staten i förhandlingar med arbetsmarknadens parter~The state in negotiations with labour-market parties
28|Arbetsgivarorganisationerna representerar arbetsgivarna.|Employers' organisations represent employers.|Vilka representerar arbetsgivarorganisationerna?|Who do employers' organisations represent?|Arbetsgivarna~Employers|Arbetstagarna i förhandlingar om löner~Employees in pay negotiations|Staten när kollektivavtal ska godkännas~The state when collective agreements are approved
28|Fackförbunden och arbetsgivarorganisationerna förhandlar om och tecknar så kallade kollektivavtal om löner och arbetsvillkor.|Trade unions and employers' organisations negotiate and sign collective agreements on pay and working conditions.|Vad handlar kollektivavtal om?|What do collective agreements concern?|Löner och arbetsvillkor~Pay and working conditions|Skattesatser och statliga pensioners storlek~Tax rates and the level of state pensions|Företagens priser och villkor för konsumenter~Companies' prices and terms for consumers
29|Alla som arbetar betalar skatt på sin lön.|Everyone who works pays tax on their salary.|Vad betalar den som arbetar på sin lön enligt texten?|What does a working person pay on their salary according to the text?|Skatt~Tax|Moms~VAT|Arbetsgivaravgifter~Employer contributions
29|Privatekonomi handlar om människors privata inkomster och utgifter.|Personal finance concerns people's private income and expenses.|Vad handlar privatekonomi om?|What does personal finance concern?|Privata inkomster och utgifter~Personal income and expenses|Ett företags inkomster och utgifter~A company's income and expenses|Kommunens inkomster och utgifter~A municipality's income and expenses
29|Kronofogdemyndigheten är en statlig myndighet som ser till att skulder blir betalda.|The Swedish Enforcement Authority is a state agency that ensures debts are paid.|Vilken myndighet ser till att skulder blir betalda?|Which agency ensures debts are paid?|Kronofogdemyndigheten~The Swedish Enforcement Authority|Skatteverket~The Swedish Tax Agency|Försäkringskassan~The Swedish Social Insurance Agency
30|Välfärden finansieras genom skatter.|Welfare is funded through taxes.|Hur finansieras välfärden enligt texten?|How is welfare funded according to the text?|Genom skatter~Through taxes|Främst genom obligatoriska privata försäkringar~Primarily through compulsory private insurance|Främst genom avgifter när tjänsterna används~Primarily through fees when services are used
30|Det finns även en skatt (moms) på varor och tjänster.|There is also a tax (VAT) on goods and services.|Vad är moms?|What is VAT?|En skatt på varor och tjänster~A tax on goods and services|En avgift som arbetsgivaren betalar på lön~A contribution the employer pays on wages|En skatt enbart på företagens vinst~A tax only on companies' profits
30|De ska bland annat erbjuda hälso- och sjukvård till alla.|Among other things, they must provide health care for everyone.|Vilken uppgift har regionerna i välfärden?|What responsibility do regions have within welfare?|Att erbjuda hälso- och sjukvård~To provide health care|Att ansvara för grundskolor och förskolor~To be responsible for primary schools and preschools|Att ansvara för pensioner och barnbidrag~To be responsible for pensions and child benefit
31|Det är kommunen som ser till så att det finns tillgång till skolor och utbildning.|The municipality ensures that schools and education are available.|Vem ansvarar enligt texten för tillgång till skolor och utbildning lokalt?|Who is responsible for local access to schools and education according to the text?|Kommunen~The municipality|Regionen~The region|Skatteverket~The Swedish Tax Agency
31|I varje kommun finns en socialtjänst som ansvarar för att de som behöver får stöd och skydd.|Every municipality has social services responsible for providing support and protection to those who need it.|Vad är socialtjänstens uppgift?|What is the role of social services?|Att ge stöd och skydd till dem som behöver~To provide support and protection to those in need|Att administrera statliga pensioner och sjukpenning~To administer state pensions and sickness benefit|Att ansvara för regionens sjukhus och vårdcentraler~To be responsible for regional hospitals and health centres
32|Många flyttade till städerna och började arbeta i fabriker.|Many people moved to the cities and began working in factories.|Vad hände när Sverige industrialiserades?|What happened as Sweden industrialised?|Många flyttade till städer och fabriksarbete~Many moved to cities and factory work|Många lämnade städerna för arbete på större jordbruk~Many left cities to work on larger farms|Många stannade på landsbygden medan fabrikerna försvann~Many stayed in the countryside as factories disappeared
33|Fyra av de största var arbetarrörelsen, frikyrkorörelsen, kvinnorörelsen och nykterhetsrörelsen.|Four of the largest were the labour movement, the free church movement, the women's movement and the temperance movement.|Vilken grupp består av fyra stora folkrörelser i texten?|Which group consists of four major popular movements in the text?|Arbetarrörelsen, frikyrkorörelsen, kvinnorörelsen och nykterhetsrörelsen~The labour, free church, women’s and temperance movements|Arbetarrörelsen, frikyrkorörelsen, kvinnorörelsen och miljörörelsen~The labour, free church, women’s and environmental movements|Arbetarrörelsen, kvinnorörelsen, nykterhetsrörelsen och fredsrörelsen~The labour, women’s, temperance and peace movements
34|1921 genomfördes det första riksdagsvalet där både män och kvinnor fick rösta och där kvinnor kunde bli riksdagsledamöter.|In 1921, the first Riksdag election was held in which both men and women could vote and women could become members of parliament.|När fick både kvinnor och män för första gången rösta i ett riksdagsval?|When could both women and men vote in a Riksdag election for the first time?|1921~1921|1918~1918|1909~1909
35|Därför kallas avtalet för Saltsjöbadsavtalet.|That is why the agreement is called the Saltsjöbaden Agreement.|Vad kallas avtalet mellan arbetsgivare och fackförbund från 1938?|What is the 1938 agreement between employers and trade unions called?|Saltsjöbadsavtalet~The Saltsjöbaden Agreement|Decemberkompromissen~The December Compromise|Huvudavtalet från 2022~The 2022 Main Agreement
35|Han beskrev det som en idé om ett samhälle där alla skulle kunna känna trygghet och gemenskap, oavsett bakgrund.|He described it as an idea of a society where everyone could feel security and belonging, regardless of background.|Vilken tanke låg bakom folkhemmet?|What idea underpinned the people's home concept?|Trygghet och gemenskap för alla~Security and belonging for everyone|Trygghet som främst byggde på familjens ekonomiska ansvar~Security based mainly on the family's financial responsibility|Gemenskap som förutsatte att klasskillnaderna bevarades~Belonging that required preserving class divisions
36|Målet var att bygga en miljon bostäder på tio år.|The goal was to build one million homes in ten years.|Vad var miljonprogrammets mål?|What was the goal of the Million Programme?|En miljon bostäder på tio år~One million homes in ten years|En miljon bostäder på fem år~One million homes in five years|En halv miljon bostäder på tio år~Half a million homes in ten years
36|Arbetslösheten var mycket låg, industrierna gick bra och männi- skors levnadsstandard ökade snabbt.|Unemployment was very low, industries were doing well and people's standard of living rose quickly.|Vad kännetecknade rekordåren?|What characterised the record years?|Stark ekonomi och stigande levnadsstandard~A strong economy and rising living standards|Stark industri men snabbt ökande arbetslöshet~Strong industry but rapidly rising unemployment|Stigande levnadsstandard trots långvarig ekonomisk stagnation~Rising living standards despite prolonged economic stagnation
